"village","target_spray","sprayed","coverage_p","start_date_default","end_date_default","start_date_typical","start_date_long","start_date_messy"
"Mess",87,64,73.56,2014-04-07,2014-04-17,"07/04/2014","April 07 2014","04/07/14"
"Nkombedzi",183,169,92.35,2014-04-22,2014-04-27,"22/04/2014","April 22 2014","April 22 2014"
"B Compound",16,16,100,2014-05-13,2014-05-13,"13/05/2014","May 13 2014","May 13 2014"
"D Compound",3,2,66.67,2014-05-13,2014-05-13,"13/05/2014","May 13 2014","13-05-2014"
"Post Office",6,3,50,2014-05-13,2014-05-13,"13/05/2014","May 13 2014","May 13 2014"
"Mangulenje",375,372,99.2,2014-05-15,2014-05-26,"15/05/2014","May 15 2014","May 15 2014"
"Mangulenje Senior",7,4,57.14,2014-05-27,2014-05-27,"27/05/2014","May 27 2014","May 27 2014"
"Old School",24,23,95.83,2014-05-27,2014-05-27,"27/05/2014","May 27 2014","2014/05/27"
"Mwanza",671,636,94.78,2014-05-28,2014-06-16,"28/05/2014","May 28 2014","May 28 2014"
"Alumenda",226,226,100,2014-06-18,2014-06-27,"18/06/2014","June 18 2014","18-06-2014"
"Alumenda Seniors",7,1,14.29,2014-06-26,2014-06-26,"26/06/2014","June 26 2014","06/26/14"
"Lengwe",326,324,99.39,2014-04-28,2014-05-12,"28/04/2014","April 28 2014","2014/04/28"
"Mlambe",113,105,92.92,2014-07-18,2014-07-21,"18/07/2014","July 18 2014","2014/07/18"
"Mlambe Seniors",5,2,40,2014-07-21,2014-07-21,"21/07/2014","July 21 2014","07/21/14"
"Bonksville",12,4,33.33,2014-07-17,2014-07-17,"17/07/2014","July 17 2014","2014/07/17"
"Factory",300,129,43,2014-07-22,2014-08-14,"22/07/2014","July 22 2014","2014/07/22"
"Kalulu",629,439,69.79,2014-07-01,2014-07-17,"01/07/2014","July 01 2014","07/01/14"
"Paxman",4,2,50,2014-08-08,2014-08-08,"08/08/2014","August 08 2014","2014/08/08"
"Sande Ranch",2,2,100,2014-08-08,2014-08-08,"08/08/2014","August 08 2014","08-08-2014"
"Mess",87,44,50.57,2014-09-27,2014-09-29,"27/09/2014","September 27 2014","09/27/14"
"Nkombedzi",183,160,87.43,2014-09-22,2014-09-24,"22/09/2014","September 22 2014","22-09-2014"
"B Compound",16,10,62.5,2014-09-25,2014-09-25,"25/09/2014","September 25 2014","09/25/14"
"D Compound",3,2,66.67,2014-09-25,2014-09-25,"25/09/2014","September 25 2014","09/25/14"
"Post Office",6,4,66.67,2014-09-25,2014-09-25,"25/09/2014","September 25 2014","25-09-2014"
"Mangulenje",375,292,77.87,2014-10-01,2014-10-08,"01/10/2014","October 01 2014","October 01 2014"
"Mangulenje Senior",7,4,57.14,2014-08-10,2014-08-10,"10/08/2014","August 10 2014","August 10 2014"
"Old School",24,21,87.5,2014-10-07,2014-10-07,"07/10/2014","October 07 2014","07-10-2014"
"Mwanza",671,621,92.55,2014-10-13,2014-10-29,"13/10/2014","October 13 2014","2014/10/13"
"Alumenda",226,178,78.76,2014-10-28,2014-11-05,"28/10/2014","October 28 2014","2014/10/28"
"Alumenda Seniors",7,3,42.86,2014-05-11,2014-05-11,"11/05/2014","May 11 2014","2014/05/11"
"Lengwe",326,296,90.8,2014-11-06,2014-11-12,"06/11/2014","November 06 2014","2014/11/06"
"Mlambe",113,101,89.38,2014-11-14,2014-11-17,"14/11/2014","November 14 2014","2014/11/14"
