state,hc_type,tb_notif_count
Andaman & Nicobar Islands,public,510
Andaman & Nicobar Islands,private,24
Andhra Pradesh,public,62075
Andhra Pradesh,private,30112
Arunachal Pradesh,public,2722
Arunachal Pradesh,private,141
Assam,public,36801
Assam,private,11021
Bihar,public,79008
Bihar,private,82157
Chandigarh,public,5664
Chandigarh,private,402
Chhattisgarh,public,26801
Chhattisgarh,private,11720
Dadra and Nagar Haveli and Daman and Diu,public,1294
Dadra and Nagar Haveli and Daman and Diu,private,105
Delhi,public,76966
Delhi,private,29765
Goa,public,1614
Goa,private,477
Gujarat,public,100949
Gujarat,private,50963
Haryana,public,51231
Haryana,private,24607
Himachal Pradesh,public,14457
Himachal Pradesh,private,1632
Jammu & Kashmir,public,10022
Jammu & Kashmir,private,1782
Jharkhand,public,43683
Jharkhand,private,13637
Karnataka,public,59510
Karnataka,private,20906
Kerala,public,16766
Kerala,private,6622
Ladakh,public,311
Ladakh,private,9
Lakshadweep,public,11
Lakshadweep,private,0
Madhya Pradesh,public,130830
Madhya Pradesh,private,55463
Maharashtra,public,132531
Maharashtra,private,101574
Manipur,public,1634
Manipur,private,920
Meghalaya,public,4063
Meghalaya,private,926
Mizoram,public,1697
Mizoram,private,388
Nagaland,public,3360
Nagaland,private,765
Odisha,public,50393
Odisha,private,9979
Puducherry,public,3732
Puducherry,private,103
Punjab,public,43344
Punjab,private,11806
Rajasthan,public,126675
Rajasthan,private,42847
Sikkim,public,1286
Sikkim,private,109
Tamil Nadu,public,71896
Tamil Nadu,private,21983
Telangana,public,52304
Telangana,private,20637
Tripura,public,2865
Tripura,private,159
Uttar Pradesh,public,373262
Uttar Pradesh,private,149588
Uttarakhand,public,21215
Uttarakhand,private,6338
West Bengal,public,76945
West Bengal,private,24027
