"zonal_council","subdivision_category","state_UT"
"No Zonal Council","Union Territory","Andaman & Nicobar Islands"
"North Eastern Council","State","Arunachal Pradesh"
"North Eastern Council","State","Assam"
"Eastern Zonal Council","State","Bihar"
"Northern Zonal Council","Union Territory","Chandigarh"
"Western Zonal Council","Union Territory","Dadra and Nagar Haveli and Daman and Diu"
"Northern Zonal Council","Union Territory","Delhi"
"Western Zonal Council","State","Goa"
"Western Zonal Council","State","Gujarat"
"Northern Zonal Council","State","Haryana"
"Northern Zonal Council","State","Himachal Pradesh"
"Northern Zonal Council","Union Territory","Jammu & Kashmir"
"Eastern Zonal Council","State","Jharkhand"
"Southern Zonal Council","State","Karnataka"
"Southern Zonal Council","State","Kerala"
"No Zonal Council","Union Territory","Lakshadweep"
"Central Zonal Council","State","Madhya Pradesh"
"Western Zonal Council","State","Maharashtra"
"North Eastern Council","State","Manipur"
"North Eastern Council","State","Meghalaya"
"North Eastern Council","State","Mizoram"
"North Eastern Council","State","Nagaland"
"Eastern Zonal Council","State","Odisha"
"Southern Zonal Council","Union Territory","Puducherry"
"Northern Zonal Council","State","Punjab"
"Northern Zonal Council","State","Rajasthan"
"North Eastern Council","State","Sikkim"
"Southern Zonal Council","State","Telangana"
"North Eastern Council","State","Tripura"
"Central Zonal Council","State","Uttarakhand"
"Central Zonal Council","State","Uttar Pradesh"
"Eastern Zonal Council","State","West Bengal"
