"Continent","Country","Year","Sex","NewHIVCases"
"Eastern Mediterranean","Egypt",2022,"Male","4500 [3600 – 5500]"
"Eastern Mediterranean","Egypt",2022,"Both sexes","5100 [4100 – 6200]"
"Eastern Mediterranean","Egypt",2022,"Female","640 [530 – 770]"
"Eastern Mediterranean","Egypt",2021,"Male","4000 [3300 – 4900]"
"Eastern Mediterranean","Egypt",2021,"Both sexes","4600 [3800 – 5500]"
"Eastern Mediterranean","Egypt",2021,"Female","580 [<500 – 700]"
"Eastern Mediterranean","Egypt",2020,"Male","3600 [3000 – 4300]"
"Eastern Mediterranean","Egypt",2020,"Both sexes","4100 [3400 – 4900]"
"Eastern Mediterranean","Egypt",2020,"Female","520 [<500 – 620]"
"Eastern Mediterranean","Egypt",2019,"Female","<500 [<500 – 550]"
"Eastern Mediterranean","Egypt",2019,"Male","3200 [2700 – 3800]"
"Eastern Mediterranean","Egypt",2019,"Both sexes","3700 [3100 – 4300]"
"Eastern Mediterranean","Egypt",2018,"Female","<500 [<500 – 560]"
"Eastern Mediterranean","Egypt",2018,"Male","2900 [2500 – 3400]"
"Eastern Mediterranean","Egypt",2018,"Both sexes","3400 [2900 – 3900]"
"Eastern Mediterranean","Egypt",2017,"Female","<500 [<500 – 540]"
"Eastern Mediterranean","Egypt",2017,"Male","2600 [2200 – 3000]"
"Eastern Mediterranean","Egypt",2017,"Both sexes","3000 [2600 – 3500]"
"Eastern Mediterranean","Egypt",2016,"Female","<500 [<500 – 530]"
"Eastern Mediterranean","Egypt",2016,"Male","2200 [1900 – 2500]"
"Eastern Mediterranean","Egypt",2016,"Both sexes","2700 [2400 – 3000]"
"Eastern Mediterranean","Egypt",2015,"Female","<500 [<500 – 520]"
"Eastern Mediterranean","Egypt",2015,"Male","1900 [1600 – 2100]"
"Eastern Mediterranean","Egypt",2015,"Both sexes","2300 [2100 – 2600]"
"Eastern Mediterranean","Egypt",2014,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2014,"Male","1600 [1400 – 1800]"
"Eastern Mediterranean","Egypt",2014,"Both sexes","2000 [1800 – 2300]"
"Eastern Mediterranean","Egypt",2013,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2013,"Male","1300 [1200 – 1500]"
"Eastern Mediterranean","Egypt",2013,"Both sexes","1700 [1600 – 1900]"
"Eastern Mediterranean","Egypt",2012,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2012,"Male","1100 [970 – 1200]"
"Eastern Mediterranean","Egypt",2012,"Both sexes","1500 [1300 – 1600]"
"Eastern Mediterranean","Egypt",2011,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2011,"Both sexes","1300 [1100 – 1400]"
"Eastern Mediterranean","Egypt",2011,"Male","890 [790 – 1000]"
"Eastern Mediterranean","Egypt",2010,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2010,"Both sexes","1100 [970 – 1200]"
"Eastern Mediterranean","Egypt",2010,"Male","730 [650 – 840]"
"Eastern Mediterranean","Egypt",2009,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2009,"Male","590 [530 – 680]"
"Eastern Mediterranean","Egypt",2009,"Both sexes","900 [810 – 1000]"
"Eastern Mediterranean","Egypt",2008,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2008,"Male","<500 [<500 – 550]"
"Eastern Mediterranean","Egypt",2008,"Both sexes","770 [690 – 850]"
"Eastern Mediterranean","Egypt",2007,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2007,"Male","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2007,"Both sexes","650 [580 – 720]"
"Eastern Mediterranean","Egypt",2006,"Female","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2006,"Male","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2006,"Both sexes","560 [500 – 630]"
"Eastern Mediterranean","Egypt",2005,"Female","<500 [<200 – <500]"
"Eastern Mediterranean","Egypt",2005,"Male","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2005,"Both sexes","<500 [<500 – 530]"
"Eastern Mediterranean","Egypt",2004,"Female","<200 [<200 – <500]"
"Eastern Mediterranean","Egypt",2004,"Male","<500 [<200 – <500]"
"Eastern Mediterranean","Egypt",2004,"Both sexes","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2003,"Male","<200 [<200 – <200]"
"Eastern Mediterranean","Egypt",2003,"Female","<200 [<200 – <500]"
"Eastern Mediterranean","Egypt",2003,"Both sexes","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2002,"Female","<200 [<200 – <200]"
"Eastern Mediterranean","Egypt",2002,"Male","<200 [<200 – <200]"
"Eastern Mediterranean","Egypt",2002,"Both sexes","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2001,"Male","<200 [<100 – <200]"
"Eastern Mediterranean","Egypt",2001,"Female","<200 [<200 – <200]"
"Eastern Mediterranean","Egypt",2001,"Both sexes","<500 [<500 – <500]"
"Eastern Mediterranean","Egypt",2000,"Male","<100 [<100 – <100]"
"Eastern Mediterranean","Egypt",2000,"Female","<200 [<100 – <200]"
"Eastern Mediterranean","Egypt",2000,"Both sexes","<200 [<200 – <500]"
"Eastern Mediterranean","Egypt",1999,"Male","<100 [<100 – <100]"
"Eastern Mediterranean","Egypt",1999,"Female","<200 [<100 – <200]"
"Eastern Mediterranean","Egypt",1998,"Male","<100 [<100 – <100]"
"Eastern Mediterranean","Egypt",1998,"Female","<100 [<100 – <200]"
"Eastern Mediterranean","Egypt",1997,"Female","<100 [<100 – <100]"
"Eastern Mediterranean","Egypt",1997,"Male","<100 [<100 – <100]"
"Eastern Mediterranean","Egypt",1996,"Female","<100 [<100 – <100]"
