"Continent","Country","Year","Sex","NewHIVCases"
"Western Pacific","Viet Nam",2022,"Female","1200 [1000 – 1400]"
"Western Pacific","Viet Nam",2022,"Male","5000 [4500 – 5500]"
"Western Pacific","Viet Nam",2022,"Both sexes","6200 [5600 – 6800]"
"Western Pacific","Viet Nam",2021,"Female","1300 [1200 – 1500]"
"Western Pacific","Viet Nam",2021,"Male","5200 [4700 – 5800]"
"Western Pacific","Viet Nam",2021,"Both sexes","6600 [5900 – 7200]"
"Western Pacific","Viet Nam",2020,"Female","1500 [1300 – 1700]"
"Western Pacific","Viet Nam",2020,"Male","5600 [5000 – 6100]"
"Western Pacific","Viet Nam",2020,"Both sexes","7100 [6400 – 7800]"
"Western Pacific","Viet Nam",2019,"Female","1800 [1600 – 2000]"
"Western Pacific","Viet Nam",2019,"Male","6000 [5400 – 6600]"
"Western Pacific","Viet Nam",2019,"Both sexes","7800 [7000 – 8500]"
"Western Pacific","Viet Nam",2018,"Female","2100 [1900 – 2300]"
"Western Pacific","Viet Nam",2018,"Male","6500 [5800 – 7100]"
"Western Pacific","Viet Nam",2018,"Both sexes","8600 [7700 – 9300]"
"Western Pacific","Viet Nam",2017,"Female","2400 [2100 – 2700]"
"Western Pacific","Viet Nam",2017,"Male","6700 [6000 – 7300]"
"Western Pacific","Viet Nam",2017,"Both sexes","9200 [8200 – 9900]"
"Western Pacific","Viet Nam",2016,"Female","2800 [2400 – 3000]"
"Western Pacific","Viet Nam",2016,"Male","7100 [6300 – 7800]"
"Western Pacific","Viet Nam",2016,"Both sexes","9800 [8800 – 11 000]"
"Western Pacific","Viet Nam",2015,"Both sexes","11 000 [9600 – 12 000]"
"Western Pacific","Viet Nam",2015,"Female","3100 [2700 – 3400]"
"Western Pacific","Viet Nam",2015,"Male","7600 [6900 – 8400]"
"Western Pacific","Viet Nam",2014,"Both sexes","11 000 [10 000 – 12 000]"
"Western Pacific","Viet Nam",2014,"Female","3500 [3000 – 3800]"
"Western Pacific","Viet Nam",2014,"Male","8000 [7200 – 8800]"
"Western Pacific","Viet Nam",2013,"Both sexes","12 000 [11 000 – 13 000]"
"Western Pacific","Viet Nam",2013,"Female","3800 [3400 – 4400]"
"Western Pacific","Viet Nam",2013,"Male","8100 [7100 – 9000]"
"Western Pacific","Viet Nam",2012,"Both sexes","13 000 [11 000 – 14 000]"
"Western Pacific","Viet Nam",2012,"Female","4100 [3600 – 4700]"
"Western Pacific","Viet Nam",2012,"Male","8500 [7500 – 9500]"
"Western Pacific","Viet Nam",2011,"Both sexes","13 000 [12 000 – 15 000]"
"Western Pacific","Viet Nam",2011,"Female","4400 [3800 – 5000]"
"Western Pacific","Viet Nam",2011,"Male","9100 [8000 – 10 000]"
"Western Pacific","Viet Nam",2010,"Both sexes","14 000 [12 000 – 16 000]"
"Western Pacific","Viet Nam",2010,"Female","4600 [4000 – 5200]"
"Western Pacific","Viet Nam",2010,"Male","9500 [8300 – 11 000]"
"Western Pacific","Viet Nam",2009,"Both sexes","15 000 [13 000 – 16 000]"
"Western Pacific","Viet Nam",2009,"Female","5000 [4300 – 5600]"
"Western Pacific","Viet Nam",2009,"Male","9800 [8600 – 11 000]"
"Western Pacific","Viet Nam",2008,"Male","10 000 [8900 – 11 000]"
"Western Pacific","Viet Nam",2008,"Both sexes","16 000 [14 000 – 17 000]"
"Western Pacific","Viet Nam",2008,"Female","5400 [4700 – 6100]"
"Western Pacific","Viet Nam",2007,"Male","11 000 [9400 – 12 000]"
"Western Pacific","Viet Nam",2007,"Both sexes","16 000 [14 000 – 18 000]"
"Western Pacific","Viet Nam",2007,"Female","5800 [5100 – 6600]"
"Western Pacific","Viet Nam",2006,"Male","11 000 [10 000 – 13 000]"
"Western Pacific","Viet Nam",2006,"Both sexes","18 000 [15 000 – 20 000]"
"Western Pacific","Viet Nam",2006,"Female","6100 [5300 – 7000]"
"Western Pacific","Viet Nam",2005,"Male","12 000 [11 000 – 14 000]"
"Western Pacific","Viet Nam",2005,"Both sexes","19 000 [17 000 – 21 000]"
"Western Pacific","Viet Nam",2005,"Female","6400 [5700 – 7300]"
"Western Pacific","Viet Nam",2004,"Male","13 000 [12 000 – 15 000]"
"Western Pacific","Viet Nam",2004,"Both sexes","20 000 [17 000 – 22 000]"
"Western Pacific","Viet Nam",2004,"Female","6500 [5600 – 7400]"
"Western Pacific","Viet Nam",2003,"Male","14 000 [12 000 – 16 000]"
"Western Pacific","Viet Nam",2003,"Both sexes","21 000 [18 000 – 23 000]"
"Western Pacific","Viet Nam",2003,"Female","6500 [5700 – 7400]"
"Western Pacific","Viet Nam",2002,"Male","15 000 [13 000 – 16 000]"
"Western Pacific","Viet Nam",2002,"Both sexes","21 000 [18 000 – 24 000]"
"Western Pacific","Viet Nam",2002,"Female","6300 [5500 – 7400]"
"Western Pacific","Viet Nam",2001,"Male","15 000 [13 000 – 16 000]"
"Western Pacific","Viet Nam",2001,"Both sexes","21 000 [18 000 – 23 000]"
"Western Pacific","Viet Nam",2001,"Female","6000 [5200 – 7000]"
"Western Pacific","Viet Nam",2000,"Male","14 000 [13 000 – 16 000]"
"Western Pacific","Viet Nam",2000,"Both sexes","20 000 [18 000 – 23 000]"
"Western Pacific","Viet Nam",2000,"Female","5700 [4900 – 6500]"
"Western Pacific","Viet Nam",1999,"Male","14 000 [13 000 – 16 000]"
"Western Pacific","Viet Nam",1999,"Female","5200 [4500 – 6000]"
"Western Pacific","Viet Nam",1998,"Male","14 000 [12 000 – 16 000]"
"Western Pacific","Viet Nam",1998,"Female","4800 [4100 – 5600]"
"Western Pacific","Viet Nam",1997,"Male","14 000 [12 000 – 16 000]"
"Western Pacific","Viet Nam",1997,"Female","4200 [3600 – 4800]"
