Continent,Country,Year,Sex,NewHIVCases
Eastern Mediterranean,Egypt,2022,Female,640 [530 – 770]
Eastern Mediterranean,Egypt,2021,Female,580 [<500 – 700]
Eastern Mediterranean,Egypt,2020,Female,520 [<500 – 620]
Eastern Mediterranean,Egypt,2019,Female,<500 [<500 – 550]
Eastern Mediterranean,Egypt,2018,Female,<500 [<500 – 560]
Eastern Mediterranean,Egypt,2017,Female,<500 [<500 – 540]
Eastern Mediterranean,Egypt,2016,Female,<500 [<500 – 530]
Eastern Mediterranean,Egypt,2015,Female,<500 [<500 – 520]
Eastern Mediterranean,Egypt,2014,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2013,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2012,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2011,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2010,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2009,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2008,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2007,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2006,Female,<500 [<500 – <500]
Eastern Mediterranean,Egypt,2005,Female,<500 [<200 – <500]
Eastern Mediterranean,Egypt,2004,Female,<200 [<200 – <500]
Eastern Mediterranean,Egypt,2003,Female,<200 [<200 – <500]
Eastern Mediterranean,Egypt,2002,Female,<200 [<200 – <200]
Eastern Mediterranean,Egypt,2001,Female,<200 [<200 – <200]
Eastern Mediterranean,Egypt,2000,Female,<200 [<100 – <200]
Eastern Mediterranean,Egypt,1999,Female,<200 [<100 – <200]
Eastern Mediterranean,Egypt,1998,Female,<100 [<100 – <200]
Eastern Mediterranean,Egypt,1997,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1996,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1995,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1994,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1993,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1992,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1991,Female,<100 [<100 – <100]
Eastern Mediterranean,Egypt,1990,Female,<100 [<100 – <100]
