Continent,Country,Year,Sex,NewHIVCases
Eastern Mediterranean,Iran (Islamic Republic of),2022,Female,1200 [790 – 2400]
Eastern Mediterranean,Iran (Islamic Republic of),2021,Female,1000 [650 – 1800]
Eastern Mediterranean,Iran (Islamic Republic of),2020,Female,980 [650 – 1800]
Eastern Mediterranean,Iran (Islamic Republic of),2019,Female,970 [620 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2018,Female,970 [630 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),2017,Female,970 [660 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2016,Female,970 [680 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2015,Female,970 [670 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),2014,Female,950 [670 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2013,Female,940 [630 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2012,Female,960 [640 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2011,Female,1000 [660 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2010,Female,1100 [690 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2009,Female,1100 [710 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),2008,Female,1100 [660 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2007,Female,1100 [730 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2006,Female,1100 [720 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2005,Female,1100 [750 – 1500]
Eastern Mediterranean,Iran (Islamic Republic of),2004,Female,1100 [780 – 1500]
Eastern Mediterranean,Iran (Islamic Republic of),2003,Female,1100 [790 – 1500]
Eastern Mediterranean,Iran (Islamic Republic of),2002,Female,1100 [730 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2001,Female,1000 [650 – 1600]
Eastern Mediterranean,Iran (Islamic Republic of),2000,Female,940 [560 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),1999,Female,850 [<500 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),1998,Female,780 [<500 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),1997,Female,810 [<500 – 1800]
Eastern Mediterranean,Iran (Islamic Republic of),1996,Female,670 [<500 – 1700]
Eastern Mediterranean,Iran (Islamic Republic of),1995,Female,<500 [<200 – 1000]
Eastern Mediterranean,Iran (Islamic Republic of),1994,Female,<500 [<100 – 610]
Eastern Mediterranean,Iran (Islamic Republic of),1993,Female,<200 [<100 – 650]
Eastern Mediterranean,Iran (Islamic Republic of),1992,Female,<200 [<100 – 700]
Eastern Mediterranean,Iran (Islamic Republic of),1991,Female,<200 [<100 – 950]
Eastern Mediterranean,Iran (Islamic Republic of),1990,Female,<200 [<100 – 1600]
