Continent,Country,Year,Sex,NewHIVCases
Americas,Brazil,2022,Male,37 000 [35 000 – 40 000]
Americas,Brazil,2021,Male,37 000 [34 000 – 39 000]
Americas,Brazil,2020,Male,35 000 [32 000 – 37 000]
Americas,Brazil,2019,Male,35 000 [32 000 – 37 000]
Americas,Brazil,2018,Male,34 000 [32 000 – 36 000]
Americas,Brazil,2017,Male,34 000 [31 000 – 36 000]
Americas,Brazil,2016,Male,34 000 [31 000 – 36 000]
Americas,Brazil,2015,Male,33 000 [31 000 – 36 000]
Americas,Brazil,2014,Male,33 000 [31 000 – 35 000]
Americas,Brazil,2013,Male,32 000 [30 000 – 35 000]
Americas,Brazil,2012,Male,32 000 [30 000 – 34 000]
Americas,Brazil,2011,Male,31 000 [29 000 – 34 000]
Americas,Brazil,2010,Male,31 000 [28 000 – 33 000]
Americas,Brazil,2009,Male,30 000 [28 000 – 31 000]
Americas,Brazil,2008,Male,29 000 [27 000 – 31 000]
Americas,Brazil,2007,Male,29 000 [27 000 – 31 000]
Americas,Brazil,2006,Male,28 000 [26 000 – 30 000]
Americas,Brazil,2005,Male,28 000 [26 000 – 29 000]
Americas,Brazil,2004,Male,27 000 [25 000 – 28 000]
Americas,Brazil,2003,Male,26 000 [25 000 – 28 000]
Americas,Brazil,2002,Male,26 000 [24 000 – 28 000]
Americas,Brazil,2001,Male,25 000 [23 000 – 27 000]
Americas,Brazil,2000,Male,25 000 [23 000 – 26 000]
Americas,Brazil,1999,Male,26 000 [24 000 – 27 000]
Americas,Brazil,1998,Male,25 000 [23 000 – 26 000]
Americas,Brazil,1997,Male,24 000 [22 000 – 26 000]
Americas,Brazil,1996,Male,23 000 [22 000 – 25 000]
Americas,Brazil,1995,Male,23 000 [22 000 – 25 000]
Americas,Brazil,1994,Male,23 000 [21 000 – 24 000]
Americas,Brazil,1993,Male,22 000 [21 000 – 24 000]
Americas,Brazil,1992,Male,21 000 [20 000 – 23 000]
Americas,Brazil,1991,Male,20 000 [19 000 – 22 000]
Americas,Brazil,1990,Male,20 000 [19 000 – 21 000]
