date,min_temp,max_temp,rain
2015-01-01,21.5,29.9,21.7
2015-01-02,19.6,30.4,2.2
2015-01-03,21.6,29.9,25.8
2015-01-04,20,29.5,1
2015-01-05,20,32.2,53
2015-01-06,21.8,31.1,60
2015-01-07,21,28.7,44.4
2015-01-08,22,29.5,30
2015-01-09,22,31,3
2015-01-10,19.9,31.6,0
2015-01-11,21.1,28.5,27
2015-01-12,21.5,25.7,100
2015-01-13,21.5,27.3,29
2015-01-14,22,34,23
2015-01-15,22.9,30.9,11
2015-01-16,22.5,34,0
2015-01-17,23.5,34.6,26
2015-01-18,21.7,31,1
2015-01-19,21.3,31.5,0
2015-01-20,19.4,31.5,0
2015-01-21,19.2,32.5,0
2015-01-22,21.6,35.4,0
2015-01-23,19.5,32.2,0
2015-01-24,19.4,32.7,0
2015-01-25,20.4,34.9,0.8
2015-01-26,22,35.2,0
2015-01-27,22.1,35.5,0
2015-01-28,22,34.6,46.1
2015-01-29,20.9,30.6,15.6
2015-01-30,21.5,30.5,0
2015-01-31,22.1,31.6,55.4
2015-02-01,21.9,33.6,0
2015-02-02,22,35.7,1.5
2015-02-03,21.6,33.6,6.3
2015-02-04,21.6,32,52
2015-02-05,20.6,32.4,0
2015-02-06,26.6,34.5,2.9
2015-02-07,20.5,34.3,0
2015-02-08,21.6,34,0
2015-02-09,21.9,34.3,0
2015-02-10,21.5,34.2,0
2015-02-11,21,34.4,0
2015-02-12,21,34.5,0
2015-02-13,21.4,34.9,0
2015-02-14,22.9,36,0
2015-02-15,22,35,24.7
2015-02-16,20.5,30.8,21.9
2015-02-17,21.3,25.6,12.8
2015-02-18,19.1,28.3,0
2015-02-19,18,32,0
2015-02-20,21.1,34.3,0
2015-02-21,22.5,33.1,0
2015-02-22,22.4,35,0
2015-02-23,23.4,28.7,59.9
2015-02-24,20.5,31,10.1
2015-02-25,21.7,31,100
2015-02-26,20.4,31.3,0
2015-02-27,21.6,33,0
2015-02-28,20.6,32.5,0
2015-03-01,20.1,34,0
2015-03-02,20.5,33.7,2
2015-03-03,20.8,25.7,23.5
2015-03-04,19,29.5,0
2015-03-05,19,31.3,0
2015-03-06,17.3,31,4.9
2015-03-07,19.4,29,8.4
2015-03-08,19.6,33.1,0
2015-03-09,19.5,33,2.2
2015-03-10,21.9,32.2,0
2015-03-11,19.9,32.4,0
2015-03-12,19.5,32,0
2015-03-13,18.6,32,0
2015-03-14,19,33.3,0
2015-03-15,19,32.4,0
2015-03-16,18.1,34,0
2015-03-17,19.4,35.5,0
2015-03-18,21.1,35.6,0
2015-03-19,22.4,34.9,3.3
2015-03-20,20.8,34.7,0
2015-03-21,22.1,33.9,0
2015-03-22,21.9,34,0
2015-03-23,22,34.3,0
2015-03-24,21.5,34.4,0
2015-03-25,20.8,35,0
2015-03-26,23.1,36.5,3
2015-03-27,21.5,36.5,0
2015-03-28,22.5,36.4,24.3
2015-03-29,22.6,34.5,11.9
2015-03-30,22.6,35.3,0
2015-03-31,22.1,33.8,0
2015-04-01,21.5,30,0
2015-04-02,19.8,32.4,0
2015-04-03,19.5,32.7,0
2015-04-04,16.8,32.7,0
2015-04-05,16,34.5,0
2015-04-06,17.5,35,0
2015-04-07,20.9,32.4,0.8
2015-04-08,20.5,30.4,0
2015-04-09,18.4,29.2,4.9
2015-04-10,17.7,29.7,0
2015-04-11,19.6,31.6,0
2015-04-12,17.6,33.3,0
2015-04-13,18,32,0
2015-04-14,18.4,33,0
2015-04-15,18.6,33.8,0
2015-04-16,22.1,32.9,0
2015-04-17,21,32.5,0
2015-04-18,21.7,33.9,0
2015-04-19,20.2,32.3,0
2015-04-20,19.2,31.5,0
2015-04-21,20.5,33.1,0
2015-04-22,20.5,32,0
2015-04-23,17.4,31.5,0
2015-04-24,18.4,30.5,0
2015-04-25,17.6,31,0
2015-04-26,17.9,31.9,0
2015-04-27,14.8,32.6,0
2015-04-28,14.5,32.5,0
2015-04-29,14,33.3,0
2015-04-30,13.4,34.9,0
2015-05-01,11,35.4,0
2015-05-02,17.5,32,0
2015-05-03,19.6,32,0
2015-05-04,17,33,0
2015-05-05,17.4,32,0
2015-05-06,14.5,33,0
2015-05-07,13.2,32.3,0
2015-05-08,16,28.9,3
