"Continent","Country","Year","Sex","NewHIVCases"
"Africa","Ethiopia",2022,"Male","3200 [1600 – 7200]"
"Africa","Ethiopia",2022,"Female","5100 [2500 – 11 000]"
"Africa","Ethiopia",2022,"Both sexes","8300 [4000 – 18 000]"
"Africa","Ethiopia",2021,"Male","3600 [1800 – 8200]"
"Africa","Ethiopia",2021,"Female","5700 [2700 – 13 000]"
"Africa","Ethiopia",2021,"Both sexes","9300 [4500 – 21 000]"
"Africa","Ethiopia",2020,"Male","3700 [1800 – 8300]"
"Africa","Ethiopia",2020,"Female","5800 [2800 – 13 000]"
"Africa","Ethiopia",2020,"Both sexes","9400 [4600 – 21 000]"
"Africa","Ethiopia",2019,"Both sexes","11 000 [5500 – 25 000]"
"Africa","Ethiopia",2019,"Male","4500 [2200 – 10 000]"
"Africa","Ethiopia",2019,"Female","6700 [3300 – 15 000]"
"Africa","Ethiopia",2018,"Both sexes","12 000 [6000 – 27 000]"
"Africa","Ethiopia",2018,"Male","5000 [2500 – 11 000]"
"Africa","Ethiopia",2018,"Female","7300 [3500 – 16 000]"
"Africa","Ethiopia",2017,"Both sexes","14 000 [6700 – 31 000]"
"Africa","Ethiopia",2017,"Male","5700 [2800 – 13 000]"
"Africa","Ethiopia",2017,"Female","8100 [3900 – 18 000]"
"Africa","Ethiopia",2016,"Both sexes","15 000 [7600 – 35 000]"
"Africa","Ethiopia",2016,"Male","6400 [3200 – 14 000]"
"Africa","Ethiopia",2016,"Female","9100 [4400 – 20 000]"
"Africa","Ethiopia",2015,"Both sexes","16 000 [7900 – 36 000]"
"Africa","Ethiopia",2015,"Male","6700 [3300 – 15 000]"
"Africa","Ethiopia",2015,"Female","9500 [4600 – 21 000]"
"Africa","Ethiopia",2014,"Female","10 000 [5000 – 23 000]"
"Africa","Ethiopia",2014,"Both sexes","18 000 [8700 – 40 000]"
"Africa","Ethiopia",2014,"Male","7500 [3700 – 17 000]"
"Africa","Ethiopia",2013,"Female","11 000 [5300 – 25 000]"
"Africa","Ethiopia",2013,"Both sexes","19 000 [9300 – 43 000]"
"Africa","Ethiopia",2013,"Male","8100 [4000 – 18 000]"
"Africa","Ethiopia",2012,"Female","12 000 [5900 – 27 000]"
"Africa","Ethiopia",2012,"Both sexes","21 000 [11 000 – 48 000]"
"Africa","Ethiopia",2012,"Male","9200 [4600 – 21 000]"
"Africa","Ethiopia",2011,"Male","11 000 [5300 – 24 000]"
"Africa","Ethiopia",2011,"Female","14 000 [6600 – 30 000]"
"Africa","Ethiopia",2011,"Both sexes","24 000 [12 000 – 54 000]"
"Africa","Ethiopia",2010,"Male","12 000 [5900 – 27 000]"
"Africa","Ethiopia",2010,"Female","15 000 [7300 – 34 000]"
"Africa","Ethiopia",2010,"Both sexes","27 000 [13 000 – 60 000]"
"Africa","Ethiopia",2009,"Male","13 000 [6600 – 30 000]"
"Africa","Ethiopia",2009,"Female","16 000 [8000 – 37 000]"
"Africa","Ethiopia",2009,"Both sexes","30 000 [15 000 – 66 000]"
"Africa","Ethiopia",2008,"Male","14 000 [7200 – 33 000]"
"Africa","Ethiopia",2008,"Female","18 000 [8700 – 40 000]"
"Africa","Ethiopia",2008,"Both sexes","32 000 [16 000 – 72 000]"
"Africa","Ethiopia",2007,"Male","16 000 [7800 – 35 000]"
"Africa","Ethiopia",2007,"Female","19 000 [9300 – 43 000]"
"Africa","Ethiopia",2007,"Both sexes","35 000 [17 000 – 78 000]"
"Africa","Ethiopia",2006,"Male","17 000 [8400 – 38 000]"
"Africa","Ethiopia",2006,"Female","21 000 [9900 – 46 000]"
"Africa","Ethiopia",2006,"Both sexes","37 000 [18 000 – 84 000]"
"Africa","Ethiopia",2005,"Male","18 000 [9100 – 42 000]"
"Africa","Ethiopia",2005,"Female","22 000 [11 000 – 50 000]"
"Africa","Ethiopia",2005,"Both sexes","41 000 [20 000 – 91 000]"
"Africa","Ethiopia",2004,"Male","20 000 [9900 – 45 000]"
"Africa","Ethiopia",2004,"Female","24 000 [12 000 – 54 000]"
"Africa","Ethiopia",2004,"Both sexes","44 000 [22 000 – 99 000]"
"Africa","Ethiopia",2003,"Male","22 000 [11 000 – 50 000]"
"Africa","Ethiopia",2003,"Female","27 000 [13 000 – 60 000]"
"Africa","Ethiopia",2003,"Both sexes","49 000 [24 000 – 110 000]"
"Africa","Ethiopia",2002,"Male","24 000 [12 000 – 54 000]"
"Africa","Ethiopia",2002,"Female","29 000 [14 000 – 65 000]"
"Africa","Ethiopia",2002,"Both sexes","53 000 [26 000 – 120 000]"
"Africa","Ethiopia",2001,"Male","27 000 [13 000 – 60 000]"
"Africa","Ethiopia",2001,"Female","32 000 [16 000 – 72 000]"
"Africa","Ethiopia",2001,"Both sexes","59 000 [29 000 – 130 000]"
"Africa","Ethiopia",2000,"Male","29 000 [14 000 – 66 000]"
"Africa","Ethiopia",2000,"Female","35 000 [17 000 – 79 000]"
"Africa","Ethiopia",2000,"Both sexes","65 000 [32 000 – 140 000]"
"Africa","Ethiopia",1999,"Male","32 000 [16 000 – 72 000]"
"Africa","Ethiopia",1999,"Female","39 000 [19 000 – 87 000]"
"Africa","Ethiopia",1998,"Male","35 000 [17 000 – 79 000]"
"Africa","Ethiopia",1998,"Female","43 000 [21 000 – 96 000]"
"Africa","Ethiopia",1997,"Male","38 000 [19 000 – 85 000]"
"Africa","Ethiopia",1997,"Female","47 000 [23 000 – 100 000]"
"Africa","Ethiopia",1996,"Male","42 000 [21 000 – 95 000]"
"Africa","Ethiopia",1996,"Female","53 000 [26 000 – 120 000]"
"Africa","Ethiopia",1995,"Male","46 000 [23 000 – 100 000]"
"Africa","Ethiopia",1995,"Female","59 000 [29 000 – 130 000]"
"Africa","Ethiopia",1994,"Male","52 000 [26 000 – 120 000]"
"Africa","Ethiopia",1994,"Female","68 000 [33 000 – 150 000]"
"Africa","Ethiopia",1993,"Male","57 000 [28 000 – 130 000]"
"Africa","Ethiopia",1993,"Female","75 000 [36 000 – 170 000]"
"Africa","Ethiopia",1992,"Male","58 000 [29 000 – 130 000]"
"Africa","Ethiopia",1992,"Female","76 000 [37 000 – 170 000]"
"Africa","Ethiopia",1991,"Male","56 000 [28 000 – 130 000]"
"Africa","Ethiopia",1991,"Female","73 000 [35 000 – 160 000]"
"Africa","Ethiopia",1990,"Male","50 000 [25 000 – 110 000]"
"Africa","Ethiopia",1990,"Female","65 000 [31 000 – 140 000]"
