"Continent","Country","Year","Sex","NewHIVCases"
"Eastern Mediterranean","Iran (Islamic Republic of)",2022,"Female","1200 [790 – 2400]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2022,"Male","1700 [1100 – 3300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2022,"Both sexes","2900 [1900 – 5700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2021,"Female","1000 [650 – 1800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2021,"Male","1400 [920 – 2500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2021,"Both sexes","2400 [1600 – 4300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2020,"Male","1300 [860 – 2300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2020,"Both sexes","2300 [1500 – 4100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2020,"Female","980 [650 – 1800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2019,"Male","1300 [870 – 2300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2019,"Both sexes","2200 [1400 – 3900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2019,"Female","970 [620 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2018,"Male","1300 [840 – 2100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2018,"Both sexes","2200 [1500 – 3800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2018,"Female","970 [630 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2017,"Male","1300 [860 – 2200]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2017,"Both sexes","2200 [1500 – 3800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2017,"Female","970 [660 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2016,"Male","1300 [910 – 2200]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2016,"Both sexes","2300 [1600 – 3800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2016,"Female","970 [680 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2015,"Male","1300 [930 – 2200]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2015,"Both sexes","2300 [1600 – 3800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2015,"Female","970 [670 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2014,"Male","1400 [950 – 2400]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2014,"Both sexes","2400 [1600 – 3900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2014,"Female","950 [670 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2013,"Male","1500 [1100 – 2500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2013,"Both sexes","2400 [1700 – 4100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2013,"Female","940 [630 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2012,"Male","1700 [1200 – 2700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2012,"Both sexes","2700 [1800 – 4500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2012,"Female","960 [640 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2011,"Female","1000 [660 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2011,"Male","2100 [1400 – 3400]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2011,"Both sexes","3100 [2000 – 5000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2010,"Female","1100 [690 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2010,"Male","2600 [1700 – 4000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2010,"Both sexes","3700 [2400 – 5700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2009,"Female","1100 [710 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2009,"Male","3300 [2100 – 5200]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2009,"Both sexes","4400 [2800 – 6900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2008,"Female","1100 [660 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2008,"Male","3900 [2400 – 6000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2008,"Both sexes","5000 [3100 – 7600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2007,"Female","1100 [730 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2007,"Male","5000 [3000 – 7300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2007,"Both sexes","6100 [3800 – 8900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2006,"Female","1100 [720 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2006,"Male","5700 [3600 – 8100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2006,"Both sexes","6800 [4300 – 9600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2005,"Female","1100 [750 – 1500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2005,"Male","6300 [4000 – 8500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2005,"Both sexes","7400 [4800 – 10 000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2004,"Female","1100 [780 – 1500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2004,"Male","6700 [4600 – 8900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2004,"Both sexes","7800 [5400 – 10 000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2003,"Female","1100 [790 – 1500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2003,"Male","6400 [4400 – 9000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2003,"Both sexes","7500 [5200 – 10 000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2002,"Female","1100 [730 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2002,"Male","5800 [3800 – 8100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2002,"Both sexes","6900 [4400 – 9600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2001,"Female","1000 [650 – 1600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2001,"Male","4500 [2700 – 6800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2001,"Both sexes","5600 [3400 – 8300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2000,"Male","3300 [1900 – 5800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2000,"Both sexes","4200 [2500 – 7500]"
"Eastern Mediterranean","Iran (Islamic Republic of)",2000,"Female","940 [560 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1999,"Male","2300 [1300 – 4700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1999,"Female","850 [<500 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1998,"Male","1600 [830 – 3600]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1998,"Female","780 [<500 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1997,"Male","1300 [530 – 2900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1997,"Female","810 [<500 – 1800]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1996,"Female","670 [<500 – 1700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1996,"Male","870 [<500 – 2100]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1995,"Female","<500 [<200 – 1000]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1995,"Male","500 [<200 – 1300]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1994,"Female","<500 [<100 – 610]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1994,"Male","<500 [<200 – 990]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1993,"Female","<200 [<100 – 650]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1993,"Male","<500 [<100 – 980]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1992,"Female","<200 [<100 – 700]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1992,"Male","<200 [<100 – 900]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1991,"Male","<200 [<100 – 890]"
"Eastern Mediterranean","Iran (Islamic Republic of)",1991,"Female","<200 [<100 – 950]"
