"Continent","Country","Year","Sex","NewHIVCases"
"Western Pacific","Philippines",2022,"Female","2000 [1600 – 2400]"
"Western Pacific","Philippines",2022,"Male","22 000 [19 000 – 26 000]"
"Western Pacific","Philippines",2022,"Both sexes","24 000 [20 000 – 28 000]"
"Western Pacific","Philippines",2021,"Female","1700 [1300 – 2000]"
"Western Pacific","Philippines",2021,"Male","20 000 [16 000 – 23 000]"
"Western Pacific","Philippines",2021,"Both sexes","21 000 [18 000 – 25 000]"
"Western Pacific","Philippines",2020,"Female","1400 [1100 – 1700]"
"Western Pacific","Philippines",2020,"Male","17 000 [14 000 – 20 000]"
"Western Pacific","Philippines",2020,"Both sexes","18 000 [15 000 – 21 000]"
"Western Pacific","Philippines",2019,"Female","1300 [1000 – 1500]"
"Western Pacific","Philippines",2019,"Male","15 000 [12 000 – 17 000]"
"Western Pacific","Philippines",2019,"Both sexes","16 000 [14 000 – 19 000]"
"Western Pacific","Philippines",2018,"Female","1100 [880 – 1300]"
"Western Pacific","Philippines",2018,"Male","14 000 [11 000 – 16 000]"
"Western Pacific","Philippines",2018,"Both sexes","15 000 [12 000 – 17 000]"
"Western Pacific","Philippines",2017,"Male","12 000 [10 000 – 14 000]"
"Western Pacific","Philippines",2017,"Both sexes","13 000 [11 000 – 15 000]"
"Western Pacific","Philippines",2017,"Female","920 [730 – 1100]"
"Western Pacific","Philippines",2016,"Male","11 000 [8700 – 12 000]"
"Western Pacific","Philippines",2016,"Both sexes","11 000 [9400 – 13 000]"
"Western Pacific","Philippines",2016,"Female","790 [640 – 940]"
"Western Pacific","Philippines",2015,"Both sexes","10 000 [8400 – 12 000]"
"Western Pacific","Philippines",2015,"Female","690 [560 – 810]"
"Western Pacific","Philippines",2015,"Male","9500 [7800 – 11 000]"
"Western Pacific","Philippines",2014,"Female","570 [<500 – 670]"
"Western Pacific","Philippines",2014,"Male","8300 [6900 – 9600]"
"Western Pacific","Philippines",2014,"Both sexes","8900 [7300 – 10 000]"
"Western Pacific","Philippines",2013,"Female","<500 [<500 – 550]"
"Western Pacific","Philippines",2013,"Male","7000 [5800 – 8100]"
"Western Pacific","Philippines",2013,"Both sexes","7400 [6100 – 8600]"
"Western Pacific","Philippines",2012,"Female","<500 [<500 – <500]"
"Western Pacific","Philippines",2012,"Male","5700 [4800 – 6700]"
"Western Pacific","Philippines",2012,"Both sexes","6100 [5100 – 7100]"
"Western Pacific","Philippines",2011,"Female","<500 [<500 – <500]"
"Western Pacific","Philippines",2011,"Male","5000 [4200 – 5800]"
"Western Pacific","Philippines",2011,"Both sexes","5400 [4500 – 6200]"
"Western Pacific","Philippines",2010,"Female","<500 [<500 – <500]"
"Western Pacific","Philippines",2010,"Male","4400 [3700 – 5000]"
"Western Pacific","Philippines",2010,"Both sexes","4700 [3900 – 5300]"
"Western Pacific","Philippines",2009,"Female","<500 [<200 – <500]"
"Western Pacific","Philippines",2009,"Male","3300 [2800 – 3800]"
"Western Pacific","Philippines",2009,"Both sexes","3500 [3000 – 4000]"
"Western Pacific","Philippines",2008,"Female","<200 [<200 – <200]"
"Western Pacific","Philippines",2008,"Male","2300 [1900 – 2700]"
"Western Pacific","Philippines",2008,"Both sexes","2400 [2000 – 2800]"
"Western Pacific","Philippines",2007,"Female","<200 [<100 – <200]"
"Western Pacific","Philippines",2007,"Male","1700 [1400 – 1900]"
"Western Pacific","Philippines",2007,"Both sexes","1800 [1500 – 2100]"
"Western Pacific","Philippines",2006,"Female","<100 [<100 – <200]"
"Western Pacific","Philippines",2006,"Male","1300 [1100 – 1500]"
"Western Pacific","Philippines",2006,"Both sexes","1400 [1100 – 1600]"
"Western Pacific","Philippines",2005,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2005,"Both sexes","1100 [880 – 1200]"
"Western Pacific","Philippines",2005,"Male","990 [820 – 1100]"
"Western Pacific","Philippines",2004,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2004,"Male","760 [630 – 870]"
"Western Pacific","Philippines",2004,"Both sexes","820 [690 – 940]"
"Western Pacific","Philippines",2003,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2003,"Male","570 [<500 – 650]"
"Western Pacific","Philippines",2003,"Both sexes","630 [530 – 720]"
"Western Pacific","Philippines",2002,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2002,"Male","<500 [<500 – <500]"
"Western Pacific","Philippines",2002,"Both sexes","<500 [<500 – 540]"
"Western Pacific","Philippines",2001,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2001,"Both sexes","<500 [<500 – <500]"
"Western Pacific","Philippines",2001,"Male","<500 [<500 – <500]"
"Western Pacific","Philippines",2000,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",2000,"Both sexes","<500 [<500 – <500]"
"Western Pacific","Philippines",2000,"Male","<500 [<500 – <500]"
"Western Pacific","Philippines",1999,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",1999,"Male","<200 [<200 – <200]"
"Western Pacific","Philippines",1998,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",1998,"Male","<200 [<200 – <200]"
"Western Pacific","Philippines",1997,"Female","<100 [<100 – <100]"
"Western Pacific","Philippines",1997,"Male","<200 [<100 – <200]"
