Continent,Country,Year,Sex,NewHIVCases
South-East Asia,Bangladesh,2022,Female,<500 [<500 – 520]
South-East Asia,Bangladesh,2021,Female,<500 [<500 – 520]
South-East Asia,Bangladesh,2020,Female,<500 [<500 – 520]
South-East Asia,Bangladesh,2019,Female,<500 [<500 – 520]
South-East Asia,Bangladesh,2018,Female,<500 [<500 – 520]
South-East Asia,Bangladesh,2017,Female,<500 [<500 – 530]
South-East Asia,Bangladesh,2016,Female,<500 [<500 – 510]
South-East Asia,Bangladesh,2015,Female,<500 [<500 – 500]
South-East Asia,Bangladesh,2014,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2013,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2012,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2011,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2010,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2009,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2008,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2007,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2006,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2005,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2004,Female,<500 [<500 – <500]
South-East Asia,Bangladesh,2003,Female,<200 [<200 – <500]
South-East Asia,Bangladesh,2002,Female,<200 [<200 – <200]
South-East Asia,Bangladesh,2001,Female,<200 [<200 – <200]
South-East Asia,Bangladesh,2000,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1999,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1998,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1997,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1996,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1995,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1994,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1993,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1992,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1991,Female,<100 [<100 – <100]
South-East Asia,Bangladesh,1990,Female,<100 [<100 – <100]
