Continent,Country,Year,Sex,NewHIVCases
Americas,Brazil,2022,Female,13 000 [12 000 – 15 000]
Americas,Brazil,2021,Female,14 000 [12 000 – 15 000]
Americas,Brazil,2020,Female,14 000 [13 000 – 15 000]
Americas,Brazil,2019,Female,14 000 [13 000 – 15 000]
Americas,Brazil,2018,Female,14 000 [13 000 – 16 000]
Americas,Brazil,2017,Female,15 000 [14 000 – 16 000]
Americas,Brazil,2016,Female,15 000 [13 000 – 16 000]
Americas,Brazil,2015,Female,15 000 [14 000 – 16 000]
Americas,Brazil,2014,Female,16 000 [14 000 – 17 000]
Americas,Brazil,2013,Female,16 000 [15 000 – 18 000]
Americas,Brazil,2012,Female,17 000 [15 000 – 18 000]
Americas,Brazil,2011,Female,17 000 [16 000 – 19 000]
Americas,Brazil,2010,Female,18 000 [16 000 – 19 000]
Americas,Brazil,2009,Female,18 000 [16 000 – 20 000]
Americas,Brazil,2008,Female,18 000 [17 000 – 20 000]
Americas,Brazil,2007,Female,18 000 [17 000 – 20 000]
Americas,Brazil,2006,Female,19 000 [17 000 – 20 000]
Americas,Brazil,2005,Female,19 000 [17 000 – 20 000]
Americas,Brazil,2004,Female,19 000 [17 000 – 20 000]
Americas,Brazil,2003,Female,19 000 [17 000 – 20 000]
Americas,Brazil,2002,Female,19 000 [17 000 – 20 000]
Americas,Brazil,2001,Female,18 000 [17 000 – 20 000]
Americas,Brazil,2000,Female,18 000 [17 000 – 19 000]
Americas,Brazil,1999,Female,18 000 [17 000 – 20 000]
Americas,Brazil,1998,Female,18 000 [16 000 – 19 000]
Americas,Brazil,1997,Female,17 000 [16 000 – 19 000]
Americas,Brazil,1996,Female,17 000 [15 000 – 18 000]
Americas,Brazil,1995,Female,17 000 [15 000 – 18 000]
Americas,Brazil,1994,Female,15 000 [14 000 – 16 000]
Americas,Brazil,1993,Female,14 000 [13 000 – 15 000]
Americas,Brazil,1992,Female,13 000 [12 000 – 14 000]
Americas,Brazil,1991,Female,12 000 [11 000 – 13 000]
Americas,Brazil,1990,Female,11 000 [9700 – 12 000]
