Continent,Country,Year,Sex,NewHIVCases
Africa,Ethiopia,2022,Female,5100 [2500 – 11 000]
Africa,Ethiopia,2021,Female,5700 [2700 – 13 000]
Africa,Ethiopia,2020,Female,5800 [2800 – 13 000]
Africa,Ethiopia,2019,Female,6700 [3300 – 15 000]
Africa,Ethiopia,2018,Female,7300 [3500 – 16 000]
Africa,Ethiopia,2017,Female,8100 [3900 – 18 000]
Africa,Ethiopia,2016,Female,9100 [4400 – 20 000]
Africa,Ethiopia,2015,Female,9500 [4600 – 21 000]
Africa,Ethiopia,2014,Female,10 000 [5000 – 23 000]
Africa,Ethiopia,2013,Female,11 000 [5300 – 25 000]
Africa,Ethiopia,2012,Female,12 000 [5900 – 27 000]
Africa,Ethiopia,2011,Female,14 000 [6600 – 30 000]
Africa,Ethiopia,2010,Female,15 000 [7300 – 34 000]
Africa,Ethiopia,2009,Female,16 000 [8000 – 37 000]
Africa,Ethiopia,2008,Female,18 000 [8700 – 40 000]
Africa,Ethiopia,2007,Female,19 000 [9300 – 43 000]
Africa,Ethiopia,2006,Female,21 000 [9900 – 46 000]
Africa,Ethiopia,2005,Female,22 000 [11 000 – 50 000]
Africa,Ethiopia,2004,Female,24 000 [12 000 – 54 000]
Africa,Ethiopia,2003,Female,27 000 [13 000 – 60 000]
Africa,Ethiopia,2002,Female,29 000 [14 000 – 65 000]
Africa,Ethiopia,2001,Female,32 000 [16 000 – 72 000]
Africa,Ethiopia,2000,Female,35 000 [17 000 – 79 000]
Africa,Ethiopia,1999,Female,39 000 [19 000 – 87 000]
Africa,Ethiopia,1998,Female,43 000 [21 000 – 96 000]
Africa,Ethiopia,1997,Female,47 000 [23 000 – 100 000]
Africa,Ethiopia,1996,Female,53 000 [26 000 – 120 000]
Africa,Ethiopia,1995,Female,59 000 [29 000 – 130 000]
Africa,Ethiopia,1994,Female,68 000 [33 000 – 150 000]
Africa,Ethiopia,1993,Female,75 000 [36 000 – 170 000]
Africa,Ethiopia,1992,Female,76 000 [37 000 – 170 000]
Africa,Ethiopia,1991,Female,73 000 [35 000 – 160 000]
Africa,Ethiopia,1990,Female,65 000 [31 000 – 140 000]
