Continent,Country,Year,Sex,NewHIVCases
Western Pacific,Philippines,2022,Female,2000 [1600 – 2400]
Western Pacific,Philippines,2021,Female,1700 [1300 – 2000]
Western Pacific,Philippines,2020,Female,1400 [1100 – 1700]
Western Pacific,Philippines,2019,Female,1300 [1000 – 1500]
Western Pacific,Philippines,2018,Female,1100 [880 – 1300]
Western Pacific,Philippines,2017,Female,920 [730 – 1100]
Western Pacific,Philippines,2016,Female,790 [640 – 940]
Western Pacific,Philippines,2015,Female,690 [560 – 810]
Western Pacific,Philippines,2014,Female,570 [<500 – 670]
Western Pacific,Philippines,2013,Female,<500 [<500 – 550]
Western Pacific,Philippines,2012,Female,<500 [<500 – <500]
Western Pacific,Philippines,2011,Female,<500 [<500 – <500]
Western Pacific,Philippines,2010,Female,<500 [<500 – <500]
Western Pacific,Philippines,2009,Female,<500 [<200 – <500]
Western Pacific,Philippines,2008,Female,<200 [<200 – <200]
Western Pacific,Philippines,2007,Female,<200 [<100 – <200]
Western Pacific,Philippines,2006,Female,<100 [<100 – <200]
Western Pacific,Philippines,2005,Female,<100 [<100 – <100]
Western Pacific,Philippines,2004,Female,<100 [<100 – <100]
Western Pacific,Philippines,2003,Female,<100 [<100 – <100]
Western Pacific,Philippines,2002,Female,<100 [<100 – <100]
Western Pacific,Philippines,2001,Female,<100 [<100 – <100]
Western Pacific,Philippines,2000,Female,<100 [<100 – <100]
Western Pacific,Philippines,1999,Female,<100 [<100 – <100]
Western Pacific,Philippines,1998,Female,<100 [<100 – <100]
Western Pacific,Philippines,1997,Female,<100 [<100 – <100]
Western Pacific,Philippines,1996,Female,<100 [<100 – <100]
Western Pacific,Philippines,1995,Female,<100 [<100 – <100]
Western Pacific,Philippines,1994,Female,<100 [<100 – <100]
Western Pacific,Philippines,1993,Female,<100 [<100 – <100]
Western Pacific,Philippines,1992,Female,<100 [<100 – <100]
Western Pacific,Philippines,1991,Female,<100 [<100 – <100]
Western Pacific,Philippines,1990,Female,<100 [<100 – <100]
