"Continent","Country","Year","Sex","NewHIVCases"
"South-East Asia","Bangladesh",2022,"Female","<500 [<500 – 520]"
"South-East Asia","Bangladesh",2022,"Both sexes","1300 [1100 – 1400]"
"South-East Asia","Bangladesh",2022,"Male","800 [720 – 890]"
"South-East Asia","Bangladesh",2021,"Female","<500 [<500 – 520]"
"South-East Asia","Bangladesh",2021,"Both sexes","1200 [1100 – 1400]"
"South-East Asia","Bangladesh",2021,"Male","770 [690 – 850]"
"South-East Asia","Bangladesh",2020,"Female","<500 [<500 – 520]"
"South-East Asia","Bangladesh",2020,"Both sexes","1300 [1100 – 1400]"
"South-East Asia","Bangladesh",2020,"Male","790 [710 – 870]"
"South-East Asia","Bangladesh",2019,"Female","<500 [<500 – 520]"
"South-East Asia","Bangladesh",2019,"Both sexes","1300 [1200 – 1400]"
"South-East Asia","Bangladesh",2019,"Male","820 [730 – 900]"
"South-East Asia","Bangladesh",2018,"Female","<500 [<500 – 520]"
"South-East Asia","Bangladesh",2018,"Both sexes","1300 [1200 – 1400]"
"South-East Asia","Bangladesh",2018,"Male","840 [750 – 930]"
"South-East Asia","Bangladesh",2017,"Female","<500 [<500 – 530]"
"South-East Asia","Bangladesh",2017,"Both sexes","1400 [1200 – 1500]"
"South-East Asia","Bangladesh",2017,"Male","900 [810 – 1000]"
"South-East Asia","Bangladesh",2016,"Female","<500 [<500 – 510]"
"South-East Asia","Bangladesh",2016,"Both sexes","1400 [1300 – 1600]"
"South-East Asia","Bangladesh",2016,"Male","970 [870 – 1100]"
"South-East Asia","Bangladesh",2015,"Female","<500 [<500 – 500]"
"South-East Asia","Bangladesh",2015,"Both sexes","1400 [1300 – 1600]"
"South-East Asia","Bangladesh",2015,"Male","990 [880 – 1100]"
"South-East Asia","Bangladesh",2014,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2014,"Both sexes","1400 [1200 – 1500]"
"South-East Asia","Bangladesh",2014,"Male","930 [850 – 1000]"
"South-East Asia","Bangladesh",2013,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2013,"Both sexes","1300 [1100 – 1400]"
"South-East Asia","Bangladesh",2013,"Male","860 [770 – 960]"
"South-East Asia","Bangladesh",2012,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2012,"Both sexes","1200 [1100 – 1300]"
"South-East Asia","Bangladesh",2012,"Male","790 [710 – 880]"
"South-East Asia","Bangladesh",2011,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2011,"Both sexes","1100 [980 – 1200]"
"South-East Asia","Bangladesh",2011,"Male","710 [620 – 790]"
"South-East Asia","Bangladesh",2010,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2010,"Both sexes","1000 [930 – 1200]"
"South-East Asia","Bangladesh",2010,"Male","660 [580 – 740]"
"South-East Asia","Bangladesh",2009,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2009,"Both sexes","1000 [930 – 1200]"
"South-East Asia","Bangladesh",2009,"Male","670 [600 – 750]"
"South-East Asia","Bangladesh",2008,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2008,"Both sexes","1000 [900 – 1200]"
"South-East Asia","Bangladesh",2008,"Male","670 [580 – 760]"
"South-East Asia","Bangladesh",2007,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2007,"Both sexes","1000 [880 – 1100]"
"South-East Asia","Bangladesh",2007,"Male","660 [580 – 750]"
"South-East Asia","Bangladesh",2006,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2006,"Male","670 [590 – 760]"
"South-East Asia","Bangladesh",2006,"Both sexes","990 [870 – 1100]"
"South-East Asia","Bangladesh",2005,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2005,"Male","690 [610 – 790]"
"South-East Asia","Bangladesh",2005,"Both sexes","970 [860 – 1100]"
"South-East Asia","Bangladesh",2004,"Female","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2004,"Male","670 [590 – 750]"
"South-East Asia","Bangladesh",2004,"Both sexes","900 [800 – 1000]"
"South-East Asia","Bangladesh",2003,"Female","<200 [<200 – <500]"
"South-East Asia","Bangladesh",2003,"Male","600 [530 – 680]"
"South-East Asia","Bangladesh",2003,"Both sexes","790 [700 – 890]"
"South-East Asia","Bangladesh",2002,"Female","<200 [<200 – <200]"
"South-East Asia","Bangladesh",2002,"Male","510 [<500 – 570]"
"South-East Asia","Bangladesh",2002,"Both sexes","660 [590 – 740]"
"South-East Asia","Bangladesh",2001,"Female","<200 [<200 – <200]"
"South-East Asia","Bangladesh",2001,"Male","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2001,"Both sexes","510 [<500 – 580]"
"South-East Asia","Bangladesh",2000,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",2000,"Both sexes","<500 [<500 – <500]"
"South-East Asia","Bangladesh",2000,"Male","<500 [<500 – <500]"
"South-East Asia","Bangladesh",1999,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1999,"Male","<200 [<200 – <500]"
"South-East Asia","Bangladesh",1998,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1998,"Male","<200 [<200 – <200]"
"South-East Asia","Bangladesh",1997,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1997,"Male","<200 [<100 – <200]"
"South-East Asia","Bangladesh",1996,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1996,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1995,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1995,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1994,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1994,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1993,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1993,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1992,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1992,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1991,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1991,"Male","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1990,"Female","<100 [<100 – <100]"
"South-East Asia","Bangladesh",1990,"Male","<100 [<100 – <100]"
