"Continent","Country","Year","Sex","NewHIVCases"
"Americas","Brazil",2022,"Female","13 000 [12 000 – 15 000]"
"Americas","Brazil",2022,"Male","37 000 [35 000 – 40 000]"
"Americas","Brazil",2022,"Both sexes","51 000 [47 000 – 54 000]"
"Americas","Brazil",2021,"Female","14 000 [12 000 – 15 000]"
"Americas","Brazil",2021,"Male","37 000 [34 000 – 39 000]"
"Americas","Brazil",2021,"Both sexes","50 000 [47 000 – 53 000]"
"Americas","Brazil",2020,"Female","14 000 [13 000 – 15 000]"
"Americas","Brazil",2020,"Male","35 000 [32 000 – 37 000]"
"Americas","Brazil",2020,"Both sexes","49 000 [46 000 – 52 000]"
"Americas","Brazil",2019,"Female","14 000 [13 000 – 15 000]"
"Americas","Brazil",2019,"Male","35 000 [32 000 – 37 000]"
"Americas","Brazil",2019,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2018,"Female","14 000 [13 000 – 16 000]"
"Americas","Brazil",2018,"Male","34 000 [32 000 – 36 000]"
"Americas","Brazil",2018,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2017,"Female","15 000 [14 000 – 16 000]"
"Americas","Brazil",2017,"Male","34 000 [31 000 – 36 000]"
"Americas","Brazil",2017,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2016,"Female","15 000 [13 000 – 16 000]"
"Americas","Brazil",2016,"Male","34 000 [31 000 – 36 000]"
"Americas","Brazil",2016,"Both sexes","49 000 [45 000 – 51 000]"
"Americas","Brazil",2015,"Female","15 000 [14 000 – 16 000]"
"Americas","Brazil",2015,"Male","33 000 [31 000 – 36 000]"
"Americas","Brazil",2015,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2014,"Female","16 000 [14 000 – 17 000]"
"Americas","Brazil",2014,"Male","33 000 [31 000 – 35 000]"
"Americas","Brazil",2014,"Both sexes","48 000 [45 000 – 52 000]"
"Americas","Brazil",2013,"Female","16 000 [15 000 – 18 000]"
"Americas","Brazil",2013,"Male","32 000 [30 000 – 35 000]"
"Americas","Brazil",2013,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2012,"Female","17 000 [15 000 – 18 000]"
"Americas","Brazil",2012,"Male","32 000 [30 000 – 34 000]"
"Americas","Brazil",2012,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2011,"Female","17 000 [16 000 – 19 000]"
"Americas","Brazil",2011,"Male","31 000 [29 000 – 34 000]"
"Americas","Brazil",2011,"Both sexes","49 000 [46 000 – 52 000]"
"Americas","Brazil",2010,"Female","18 000 [16 000 – 19 000]"
"Americas","Brazil",2010,"Male","31 000 [28 000 – 33 000]"
"Americas","Brazil",2010,"Both sexes","48 000 [45 000 – 51 000]"
"Americas","Brazil",2009,"Female","18 000 [16 000 – 20 000]"
"Americas","Brazil",2009,"Male","30 000 [28 000 – 31 000]"
"Americas","Brazil",2009,"Both sexes","48 000 [44 000 – 51 000]"
"Americas","Brazil",2008,"Female","18 000 [17 000 – 20 000]"
"Americas","Brazil",2008,"Male","29 000 [27 000 – 31 000]"
"Americas","Brazil",2008,"Both sexes","47 000 [44 000 – 50 000]"
"Americas","Brazil",2007,"Female","18 000 [17 000 – 20 000]"
"Americas","Brazil",2007,"Male","29 000 [27 000 – 31 000]"
"Americas","Brazil",2007,"Both sexes","47 000 [44 000 – 50 000]"
"Americas","Brazil",2006,"Female","19 000 [17 000 – 20 000]"
"Americas","Brazil",2006,"Male","28 000 [26 000 – 30 000]"
"Americas","Brazil",2006,"Both sexes","47 000 [44 000 – 49 000]"
"Americas","Brazil",2005,"Female","19 000 [17 000 – 20 000]"
