"Continent","Country","Year","Sex","NewHIVCases"
"South-East Asia","Indonesia",2022,"Male","15 000 [13 000 – 17 000]"
"South-East Asia","Indonesia",2022,"Both sexes","24 000 [22 000 – 27 000]"
"South-East Asia","Indonesia",2022,"Female","9300 [8200 – 10 000]"
"South-East Asia","Indonesia",2021,"Female","10 000 [8900 – 11 000]"
"South-East Asia","Indonesia",2021,"Male","16 000 [14 000 – 17 000]"
"South-East Asia","Indonesia",2021,"Both sexes","26 000 [23 000 – 28 000]"
"South-East Asia","Indonesia",2020,"Female","11 000 [9500 – 12 000]"
"South-East Asia","Indonesia",2020,"Male","16 000 [15 000 – 18 000]"
"South-East Asia","Indonesia",2020,"Both sexes","27 000 [24 000 – 30 000]"
"South-East Asia","Indonesia",2019,"Female","12 000 [10 000 – 13 000]"
"South-East Asia","Indonesia",2019,"Male","17 000 [15 000 – 19 000]"
"South-East Asia","Indonesia",2019,"Both sexes","29 000 [26 000 – 31 000]"
"South-East Asia","Indonesia",2018,"Female","13 000 [11 000 – 14 000]"
"South-East Asia","Indonesia",2018,"Male","18 000 [16 000 – 20 000]"
"South-East Asia","Indonesia",2018,"Both sexes","31 000 [28 000 – 34 000]"
"South-East Asia","Indonesia",2017,"Female","13 000 [12 000 – 15 000]"
"South-East Asia","Indonesia",2017,"Male","20 000 [17 000 – 22 000]"
"South-East Asia","Indonesia",2017,"Both sexes","33 000 [30 000 – 36 000]"
"South-East Asia","Indonesia",2016,"Female","14 000 [13 000 – 16 000]"
"South-East Asia","Indonesia",2016,"Male","21 000 [18 000 – 23 000]"
"South-East Asia","Indonesia",2016,"Both sexes","35 000 [32 000 – 38 000]"
"South-East Asia","Indonesia",2015,"Female","16 000 [14 000 – 17 000]"
"South-East Asia","Indonesia",2015,"Male","22 000 [20 000 – 25 000]"
"South-East Asia","Indonesia",2015,"Both sexes","38 000 [34 000 – 41 000]"
"South-East Asia","Indonesia",2014,"Female","17 000 [15 000 – 19 000]"
"South-East Asia","Indonesia",2014,"Male","24 000 [22 000 – 27 000]"
"South-East Asia","Indonesia",2014,"Both sexes","41 000 [37 000 – 45 000]"
"South-East Asia","Indonesia",2013,"Female","18 000 [16 000 – 20 000]"
"South-East Asia","Indonesia",2013,"Male","26 000 [24 000 – 29 000]"
"South-East Asia","Indonesia",2013,"Both sexes","44 000 [40 000 – 48 000]"
"South-East Asia","Indonesia",2012,"Female","18 000 [16 000 – 21 000]"
"South-East Asia","Indonesia",2012,"Male","29 000 [26 000 – 32 000]"
"South-East Asia","Indonesia",2012,"Both sexes","47 000 [42 000 – 51 000]"
"South-East Asia","Indonesia",2011,"Female","19 000 [17 000 – 21 000]"
"South-East Asia","Indonesia",2011,"Male","30 000 [27 000 – 33 000]"
"South-East Asia","Indonesia",2011,"Both sexes","49 000 [44 000 – 53 000]"
"South-East Asia","Indonesia",2010,"Female","19 000 [17 000 – 21 000]"
"South-East Asia","Indonesia",2010,"Male","31 000 [28 000 – 34 000]"
"South-East Asia","Indonesia",2010,"Both sexes","50 000 [45 000 – 55 000]"
"South-East Asia","Indonesia",2009,"Female","19 000 [17 000 – 21 000]"
"South-East Asia","Indonesia",2009,"Male","32 000 [28 000 – 35 000]"
"South-East Asia","Indonesia",2009,"Both sexes","51 000 [46 000 – 55 000]"
"South-East Asia","Indonesia",2008,"Female","19 000 [17 000 – 21 000]"
"South-East Asia","Indonesia",2008,"Male","32 000 [29 000 – 35 000]"
"South-East Asia","Indonesia",2008,"Both sexes","51 000 [46 000 – 55 000]"
"South-East Asia","Indonesia",2007,"Female","18 000 [16 000 – 21 000]"
"South-East Asia","Indonesia",2007,"Male","33 000 [30 000 – 36 000]"
"South-East Asia","Indonesia",2007,"Both sexes","51 000 [46 000 – 56 000]"
"South-East Asia","Indonesia",2006,"Female","17 000 [15 000 – 19 000]"
"South-East Asia","Indonesia",2006,"Male","35 000 [31 000 – 38 000]"
